ProductID,Article,Name,CategoryID,BrandID,AnimalID,Description,Compound,Identity,Price
11,NWBKW39N80,"Игрушка для собак ""Кость резиновая"" для лакомств, коралловая",2,3,2,"Интерактивная игрушка станет отличным подарком для вашего питомца, ведь с ней он не будет скучать. ; Кость, сделанная из прочного каучука, отвлечет вашего четвероного друга от грызения мебели и домашних вещей, а так же сможет надолго занять собаку. Поместите в отверстие игрушки любимые вкусняшки питомца, которые будут стимулировать интерес вашего питомца к игре. Собака будет пытаться разгрызть косточку, чтобы добраться до содержимого, тем самым укрепляя свои зубы и десны.; Игрушка для собак Косточка не требует особого ухода - просто промойте в теплой мыльной воде и высушите на воздухе после использования. ; Игрушка идеально подойдет для собак всех пород и возрастов для игр на улице и в доме. Не тонет в воде. ; Игрушка станет отличным развлечением для вашей собаки и поможет сделать ее день более интересным и насыщенным. Не упустите возможность порадовать своего любимца и подарить ему массу положительных эмоций!",Состав: ТЭП (Термоэластопласты),шт,"279,00 ₽"
12,SF85J9PDQK,"Шампунь ""Взрывной кокос"" для короткошерстных собак",5,10,2,"Натуральный шампунь с ароматом Кокоса предназначен для ухода за шерстью собак короткошерстых пород. Содержит мягкий моющий комплекс, который обладает отличными очищающими свойствами. Способствует питанию и увлажнению шерсти, легко смывается, оставляя приятный изысканный аромат. Содержание в шампуне мягких моющих компонентов на натуральной основе обеспечивает глубокое очищение шерсти, не нарушая защитные свойства кожи. ; pH шампуня соответствует pH кожи собак.","Состав: вода очищенная, карбомер, глицерин, пропиленгликоль, гидроксид калия, консерванты, ЭДТА, краситель, отдушка.",216 г,"188,00 ₽"
13,C5SMEU8QAZ,"Шампунь ""Ванильный пудинг"" для собак, гипоаллергенный",5,10,2,"Натуральный шампунь с ароматом ванильного пудинга предназначен для ухода за шерстью собак пород со склонностью к аллергии. Содержит мягкий моющий комплекс, который обладает отличными очищающими свойствами. ; Способствует питанию и увлажнению шерсти, предотвращает спутывание, легко смывается, оставляя приятный изысканный аромат. ; Содержание в шампуне мягких моющих компонентов на натуральной основе обеспечивает глубокое очищение шерсти, не нарушая защитные свойства кожи. ; pH шампуня соответствует pH кожи собак.","Состав: вода очищенная, карбомер,  глицерин, пропиленгликоль, гидроксид  калия, консерванты, ЭДТА, краситель,  отдушка.",216 г,"188,00 ₽"
14,21ZSOIS4OS,Кликер-брелок для дрессировки,6,11,2,"Кнопочный кликер из пластика для дрессировки животных - необходимый аксессуар для проведения тренировок по системе кликер-тренинг. В комплекте с кольцом-креплением - можно прикрепить на браслет, поводок или коробочку для лакомств.",нет,шт,"239,00 ₽"
15,WVFAEUFRT1,"Коврик для собак супервпитывающий Doormat, коричневый мокко",7,12,2,"Супервпитывающие коврики для собак: ; Мгновенно впитывает воду и грязь, оставляя полы чистыми и сухими. ; Моментально абсорбирует благодаря системе Advanced Wicking Power. ; Впитывает в 7 раз больше собственного веса!; Сохнет в 5 раз быстрее обычных ковриков! ; Нескользящая подложка.",Размер L: 66х89см,шт,"1 781,00 ₽"
16,H66H51AY29,"Дождевик-плащ для собак, салатовый",8,13,2,"Дождевик-плащ для собак Yami-Yami -- идеальный вариант для защиты от влаги и непогоды. Модель унисекс, поэтому подойдет как мальчикам, так и девочкам. Есть капюшон. Застёжка на кнопках обеспечивает удобство при надевании и снимании. Сетчатая подкладка гарантирует комфорт, а отверстие для поводка позволяет легко прикрепить его к шлейке или ошейнику. ; Дождевик представлен в четырех размерах, подойдет собакам малых и средних пород, в том числе мопсам, французским бульдогам и корги.",Состав: нейлон(100% полиэстер),шт,"432,00 ₽"
17,U80MLVMDI4,"Комбинезон ""Грайнд"" на девочку породы Корги, без подкладки",8,14,2,"""Грайнд"" - комбинезон, изготовленный из мембранной ткани для породы корги. Непромокаемые манжеты и молния на спинке сделает прогулку максимально удобной и комфортной для питомца и для хозяина.",Размер L - спинка 40-45 см (на девочку); Материал: 100% нейлон,шт,"3 029,00 ₽"
18,FQ3D7SM9WZ,"ГЕЛЬМИМАКС-20 для щенков и взрослых собак крупных пород, 2 таблетки по 200 мг",4,8,2,"Препарат для лечения и профилактики нематодозов и цестодозов собак и щенков, а так же профилактики дирофиляриоза.; Особенности и преимущества: ; Гельмимакс является представителем нового, современного поколения препаратов от гельминтов. ; Благодаря грамотно подобранному составу Гельмимакс обладает широким спектром действия против разных типов гельминтов (при нематодозах: токсокароз, токсаскаридоз, унцинариоз, трихоцефалез, анкилостомоз, цестодозах: тениидоз, дипилидиоз, эхинококкоз, дифиллоботриоз, альвеококкоз, мезоцестоидоз и смешанных нематодо-цестодозных инвазиях, а также для профилактики дирофиляриоза). ; Гельмимакс помогает профилактировать заражение дирофиляриозом (опасный сердечный гельминт). ; Разнообразие форм выпуска позволяет подобрать Гельмимакс индивидуально для вашего любимца. ; Самая маленькая, делимая на 4 части таблетка с привлекательным ароматом курочки позволяет легко и просто задавать Гельмимакс. Примерение Гельмимакса допустимо даже у беременных животных.; Предварительной голодной диеты и применения слабительных средств перед дегельминтизацией не требуется.; Гельмимакс - победитель номинации ""Инновационный препарат 2016 года""","Состав: празиквантел, моксидектин, вспомогательные вещества.",2х200 мг,"566,00 ₽"
19,Y6AOYZDZI0,"Мультивитаминный комплекс для Собак ""Multi-Effect",4,15,2,Регулярное употребление мультивитаминного комплекса 2U способствует: ; повышению иммунитета; нормализации обмена веществ; поддержанию красоты и здоровья кожи и шерсти; укреплению костей и зубов,"Состав: дрожжи пивные, сыворотка молочная, мука мясокостная, мука рыбная, магния окись, бетаин, метионин, аскорбиновая кислота, кальция лактат, монофосфат натрия, цистеинаскорбилпальмитат, лецитин, лизин, сера очищенная, витамин Е, витамин В5, бета-каротин, селен, витамин Д3, вспомогательные вещества.",50 г,"348,00 ₽"
20,SJ2HY0D7W8,"Обложка для ветеринарного паспорта ""Балто""",8,13,2,"Обложка для ветеринарного паспорта станет незаменимой вещью для вашего питомца. Посещение выставок, ветеринарных клиник, путешествия за границу - ничего не обойдется без такого важного документа, как паспорт. Используется сольвентная печать, которая обеспечивает сохранность качества изображения и яркости более трех лет. Размер: 16*11,5см","Состав: ПВХ плёнка, картон.",шт,"260,00 ₽"
21,FEJQREAX3H,Мостик для грызунов,7,16,6,"Товары для грызунов от MR.Crisper - это про натуральность, экологичность, близость к природе и безграничную любовь к своему делу.; ​Вкусное и полезное лакомство из натуральных ингредиентов помогает стачивать постоянно растущие зубы у грызунов.; Является дополнением к основному рациону; Интерактивная игрушка для грызунов.; Сделан вручную из цельного бревна диаметром 9-10 см.; Помогает стачивать зубы; Вся древесина гипоаллергенна и безопасна.; Подходит всем грызунам",массив липы или березы,170 г,"312,00 ₽"
22,PMRW66M0YM,Сено с добавлением крапивы,1,16,6,"Товары для грызунов от MR.Crisper - это про натуральность, экологичность, близость к природе и безграничную любовь к своему делу.; Сено Mr.Crisper - это универсальный и натуральный источник всех питательных веществ для грызунов; Преимущества:; ЭКО; Источник клетчатки; Здоровье зубов; Натуральные травы; Источник витаминов и минералов","Травы, собранные с заливных лугов средней полосы России.",500 г,"254,00 ₽"
23,W9JZTKH77J,Шлейка+поводок для хорьков/кроликов,8,13,6,Шлейка + поводок для хорьков и кроликов. ; Размер шлейки: обхват 21-26 см.,нет,шт,"517,00 ₽"
24,IDH5I3YJ6J,Повседневный гранулированный корм для золотых рыб,1,17,3,"Вся продукция Mr. Fisher производится из 100% натурального термически-обработанного сырья с помощью уникальных технологий. Корма и лакомства не содержат консервантов, ароматизаторов, искусственных красителей и ГМО. Все товары сертифицированы и содержат в себе все необходимое для жизнедеятельности черепах и рыб. ; Гранулированный корм для золотых рыб содержит в основном растительные компоненты, которые в большом количестве необходимы всем золотым рыбкам. Корм не портит воду, не создает муть и не вызывает болезней рыб. Благодаря высоким вкусовым качествам его быстро и с удовольствием едят золотые рыбки. В нем содержится комплекс питательных веществ, витаминов и минералов, принимающих участие в различных биологических процессах. Корм дает все, что нужно для здоровья и активности золотых рыбок, укрепляет иммунитет, усиливает рост и способствует правильному развитию рыб. Благоприятно влияет на пищеварение золотых рыбок, не вызывает вздутия и переворачивания. Корм для золотых рыб также способствуют усилению яркости окраса за счет каратиноидов. ","Состав:; - Мясные и рыбные субпродукты,; - Злаки и их субпродукты,; - Белки животного и растительного происхождения,; - Минеральный комплекс; - Шпинат; - Крапива",30 г,"59,00 ₽"
25,PXFDZ1MFCT,"Декор для аквариумов, скала, 23x21x13 см",8,18,3,"Декор для аквариумов, скала ",нет,шт,"2 838,00 ₽"
26,JKRLB8NKXY,Яичный корм с медом для всех зерноядных птиц,1,19,4,"Полноценный корм для птиц с яйцами и медом, без красителей, подходит для всех зерноядных птиц.; Отличие данного корма Cliffi от других - это наличие в нем яиц, фруктов и витаминов, как правило, отсутствующих в традиционных кормах.; Корм приятен на вкус и понравится любым птицам.; Мед питателен и полезен, так как содержит большое количество углеводов и витаминов. Содержание яиц (белка) важно для формирования мышечных тканей и поддержания хорошего общего физического состояния птиц.; Упаковка корма производится по специальной технологии, позволяющей сохранить все питательные вещества в полной мере.","Состав: зерна, хлебобулочные изделия, жиры, продукты растительного происхождения, сахар, мед 5%, яйца 2%, молоко и его производные, минералы.",300 г,"295,00 ₽"
27,4ME9UWFQJU,Кормовая добавка Цамакс для попугаев,4,20,4,"Показания к применению: при неинфекционных желудочно-кишечных заболеваниях (диарея и др.), антериозе и алопеции (задержка, прекращение роста, выпадение пера), каннибализме (расклёв, выщипывание и поедание пера).; Увеличивает толщину скорлупы яиц, качество пера, клюва и когтей, укрепляет скелет.","Состав: цеолит, сера, магний, фосфор, железо, калий, кальций, натрий, медь и др.",60 г,"289,00 ₽"
28,GIHS69BMWP,Пластиковая жердочка для птиц,7,18,4,Пластиковая жердочка для птиц.,нет,шт,"164,00 ₽"
29,TK1NCY5U70,Кормушка-поилка для рептилий,7,9,5,Кормушка-поилка для рептилий. ; неровности на кормушке облегчают доступ к пище и воде;; выглядит естественно; ; гладкая внутренняя поверхность; ; легко очищается может служить ёмкостью для воды для скорпионов и пауков и жидкости для насекомых.,Материал: Полиэфирная смола.,шт,"1 344,00 ₽"
30,UXUXA8GBNP,"Гаммарус для рыб, рептилий, земноводных, птиц",1,21,5,"Гаммарус - пресноводные рачки, обитающие в крупных озерах Сибири. Корм отличается высоким содержанием веществ, укрепляющих здоровье рыб и повышающих интенсивность их естественной окраски.; Рекомендуется для всех видов аквариумных рыб, как пресноводных, так и морских.; Гаммарус является важной составляющей кормового рациона водяных и сухопутных черепах и других обитателей аквариумов и террариумов.",Состав: гаммарус естественной сушки.,1 кг,"4 637,00 ₽"
